,Title,Handle,Vendor,created,product_type,published_at,created_at,updated_at,price,sku,Tags,available,Image Src,Image Position,Body (HTML)
30,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,20.00,N14,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",True,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
31,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,20.00,N13,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",True,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
32,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,20.00,N12,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",True,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
33,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,20.00,N11,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",True,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
34,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,18.00,N10,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",True,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
35,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,18.00,N9,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",False,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
36,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,15.00,N8,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",True,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
37,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,15.00,N7,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",False,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
38,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,14.00,N6,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",True,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
39,MacGuffin,macguffin,Jasper Morrison Shop,2017-05-05T16:38:56+01:00,Books,2023-10-11T10:50:34+01:00,2017-05-05T16:38:56+01:00,2024-12-14T08:22:47+00:00,14.00,N5,"book, books, kitchen, magazine, magazines, mcguffin, publication, publications, things",False,https://cdn.shopify.com/s/files/1/0276/3427/files/N14.jpg?v=1727346106,1,<p>MacGuffin is a magazine from the Netherlands that dedicates each issue to a particular type of object.</p>
